code,name,regional_name,periphery_cluster,socio_cluster,socio_cluster_local,is_eligible
360,"גבעת ניל""י",אלונה,5,8,8,True
15,נועם,שפיר,4,5,5,True
393,גלאון,יואב,5,8,8,True
3794,בת עין,גוש עציון,4,6,6,True
689,מגדים,חוף הכרמל,4,8,8,True
3602,ראש צורים,גוש עציון,4,6,6,True
426,עין כרמל,חוף הכרמל,4,8,8,True
3617,עפרה,מטה בנימין,4,5,5,True
140,כפר יהושע,עמק יזרעאל,4,8,8,True
66,מרחביה (קיבוץ),עמק יזרעאל,4,8,8,True
8900,טמרה,,4,3,,True
37,איתן,שפיר,4,5,5,True
212,בית צבי,חוף הכרמל,4,8,8,True
358,יד מרדכי,חוף אשקלון,4,7,7,True
703,גבעת עוז,מגידו,4,7,7,True
794,עגור,מטה יהודה,4,7,7,True
3638,כפר אדומים,מטה בנימין,4,5,5,True
873,שלווה,שפיר,4,5,5,True
248,בית שערים,עמק יזרעאל,4,8,8,True
250,הזורע,מגידו,4,7,7,True
612,צרופה,חוף הכרמל,5,8,8,True
994,מנשית זבדה,עמק יזרעאל,5,8,8,True
683,גבע כרמל,חוף הכרמל,5,8,8,True
3571,שבי שומרון,שומרון,4,6,6,True
309,נהורה,לכיש,4,7,7,True
122,רמת ישי,,5,8,,True
433,נחשולים,חוף הכרמל,5,8,8,True
94,בלפוריה,עמק יזרעאל,5,8,8,True
3488,כפר עציון,גוש עציון,4,6,6,True
106,כפר גדעון,עמק יזרעאל,5,8,8,True
1316,אל -עריאן,מנשה,5,7,7,True
3561,מגדל עוז,גוש עציון,4,6,6,True
738,דור,חוף הכרמל,5,8,8,True
400,אבן שמואל,שפיר,4,5,5,True
744,תלמי יפה,חוף אשקלון,4,7,7,True
1079,צפרירים,מטה יהודה,4,7,7,True
1199,עדי,עמק יזרעאל,5,8,8,True
511,עילוט,,5,2,,True
874,מגדל העמק,,5,4,,True
3572,כפר תפוח,שומרון,5,6,6,True
652,אבטין,זבולון,5,5,5,True
3604,אלון שבות,גוש עציון,5,6,6,True
367,עין העמק,מגידו,5,7,7,True
18,שדה משה,לכיש,5,7,7,True
3767,נחליאל,מטה בנימין,5,5,5,True
687,עין איילה,חוף הכרמל,5,8,8,True
3822,רחלים,שומרון,5,6,6,True
444,רגבים,מנשה,5,7,7,True
55,נוגה,לכיש,5,7,7,True
890,כפר הנוער הדתי,זבולון,5,5,5,True
313,אפק,מטה אשר,5,7,7,True
32,עוצם,לכיש,5,7,7,True
285,אלונים,עמק יזרעאל,5,8,8,True
3725,נווה דניאל,גוש עציון,5,6,6,True
679,אביאל,אלונה,5,8,8,True
33,בת שלמה,חוף הכרמל,5,8,8,True
434,החותרים,חוף הכרמל,5,8,8,True
1123,אדרת,מטה יהודה,5,7,7,True
520,משהד,,5,3,,True
310,כפר גליקסון,מנשה,5,7,7,True
3747,דולב,מטה בנימין,5,5,5,True
1243,קציר,מנשה,5,7,7,True
3618,אלעזר,גוש עציון,5,6,6,True
919,גבעת ישעיהו,מטה יהודה,5,7,7,True
868,אלוני יצחק,מנשה,5,7,7,True
2100,טירת כרמל,,5,6,,True
241,יקנעם (מושבה),מגידו,5,7,7,True
7700,עפולה,,5,5,,True
142,שדה יעקב,עמק יזרעאל,5,8,8,True
240,יקנעם עילית,,5,7,,True
3781,קדר,גוש עציון,5,6,6,True
529,אעבלין,,5,3,,True
1114,שריגים (לי-און),מטה יהודה,5,7,7,True
682,אליקים,מגידו,5,7,7,True
3650,אפרת,,5,7,,True
340,גת (קיבוץ),יואב,5,8,8,True
775,יד נתן,לכיש,5,7,7,True
824,כוכב מיכאל,חוף אשקלון,5,7,7,True
3660,עמנואל,,5,2,,True
3788,טלמון,מטה בנימין,5,5,5,True
353,בית זיד,עמק יזרעאל,5,,,True
3779,כוכב יעקב,מטה בנימין,5,5,5,True
3603,הר גילה,גוש עציון,5,6,6,True
1370,מצפה אילן,מנשה,5,7,7,True
706,גיאה,חוף אשקלון,5,7,7,True
922,רכסים,,5,2,,True
766,קוממיות,שפיר,5,5,5,True
3658,עטרת,מטה בנימין,5,5,5,True
3790,נופים,שומרון,5,6,6,True
2300,קריית טבעון,,5,8,,True
573,מבקיעים,חוף אשקלון,5,7,7,True
1128,מי עמי,מנשה,5,7,7,True
427,כפר גלים,חוף הכרמל,5,8,8,True
112,כפר חסידים א',זבולון,5,5,5,True
102,מאיר שפיה,חוף הכרמל,5,8,8,True
3712,ענב,שומרון,5,6,6,True
237,שער העמקים,זבולון,5,5,5,True
826,עוזה,שפיר,5,5,5,True
882,אורנים,זבולון,5,,,True
694,מעגן מיכאל,חוף הכרמל,5,8,8,True
2045,נחלה,יואב,5,8,8,True
178,רמת יוחנן,זבולון,5,5,5,True
96,יגור,זבולון,5,5,5,True
3647,יקיר,שומרון,5,6,6,True
3557,קדומים,,5,5,,True
747,בית שקמה,חוף אשקלון,5,7,7,True
1061,נוף הגליל,,5,5,,True
2051,רווחה,שפיר,5,5,5,True
499,יפיע,,5,3,,True
1327,מעלה עירון,,5,3,,True
293,שדה יואב,יואב,5,8,8,True
693,"נתיב הל""ה",מטה יהודה,5,7,7,True
27,שדות מיכה,מטה יהודה,5,7,7,True
1145,אלומה,שפיר,5,5,5,True
8800,שפרעם,,5,3,,True
1070,אביעזר,מטה יהודה,5,7,7,True
537,פוריידיס,,5,3,,True
315,נגבה,יואב,5,8,8,True
1326,"בסמ""ה",,5,3,,True
889,כפר חסידים ב',זבולון,5,5,5,True
2030,מנוחה,לכיש,5,7,7,True
822,מטע,מטה יהודה,5,7,7,True
815,זבדיאל,שפיר,5,5,5,True
9000,באר שבע,,5,5,,True
2046,סגולה,יואב,5,8,8,True
1071,נווה מיכאל,מטה יהודה,5,7,7,True
2710,אום אל-פחם,,5,2,,True
1113,צור הדסה,מטה יהודה,5,7,7,True
2024,אום אל-קוטוף,מנשה,5,7,7,True
254,כפר המכבי,זבולון,5,5,5,True
2630,קריית גת,,5,4,,True
10,תירוש,מטה יהודה,5,7,7,True
1133,ורדון,יואב,5,8,8,True
1247,חריש,,5,5,,True
3573,נווה צוף,מטה בנימין,5,5,5,True
553,ניר בנים,באר טוביה,5,7,7,True
3570,אריאל,,5,6,,True
542,ריינה,,5,3,,True
9300,זכרון יעקב,,5,8,,True
39,גפן,מטה יהודה,5,7,7,True
818,זרחיה,שפיר,5,5,5,True
771,מבוא ביתר,מטה יהודה,5,7,7,True
799,זכריה,מטה יהודה,5,7,7,True
620,משואות יצחק,שפיר,5,5,5,True
654,כפר קרע,,5,5,,True
791,משען,חוף אשקלון,5,7,7,True
2500,נשר,,5,7,,True
3795,רבבה,שומרון,5,6,6,True
1376,באר גנים,חוף אשקלון,5,7,7,True
541,ג'סר א-זרקא,,5,2,,True
3654,ברקן,שומרון,5,6,6,True
3746,קריית נטפים,שומרון,5,6,6,True
823,בר גיורא,מטה יהודה,5,7,7,True
637,ערערה,,5,4,,True
1323,בת הדר,חוף אשקלון,5,7,7,True
493,דייר ראפאת,מטה יהודה,5,,,True
699,ניר ישראל,חוף אשקלון,5,7,7,True
9800,בנימינה-גבעת עדה,,5,8,,True
2008,שדה יצחק,מנשה,5,7,7,True
825,נס הרים,מטה יהודה,5,7,7,True
649,מייסר,מנשה,5,7,7,True
648,מצר,מנשה,5,7,7,True
278,אושה,זבולון,5,5,5,True
274,כפר מנחם,יואב,5,8,8,True
726,הודייה,חוף אשקלון,5,7,7,True
7300,נצרת,,5,3,,True
566,גבעת שמש,מטה יהודה,5,,,True
1098,מרכז שפירא,שפיר,5,5,5,True
3616,מעלה אדומים,,5,6,,True
223,עין עירון,מנשה,5,7,7,True
859,כסלון,מטה יהודה,5,7,7,True
6800,קריית אתא,,5,6,,True
746,ברכיה,חוף אשקלון,5,7,7,True
617,ברקאי,מנשה,5,7,7,True
3793,אבני חפץ,שומרון,5,6,6,True
3640,קרני שומרון,,5,6,,True
622,עין צורים,שפיר,5,5,5,True
3763,גבע בנימין,מטה בנימין,5,5,5,True
344,מענית,מנשה,5,7,7,True
1254,נטף,מטה יהודה,5,7,7,True
800,בית חנניה,חוף הכרמל,5,8,8,True
189,כפר פינס,מנשה,5,7,7,True
692,שפיר,שפיר,5,5,5,True
3780,ביתר עילית,,5,2,,True
290,מעיין צבי,חוף הכרמל,5,8,8,True
1339,אל -עזי,יואב,5,8,8,True
850,אחיטוב,עמק חפר,5,8,8,True
351,ניצן,חוף אשקלון,5,7,7,True
787,גבעת יערים,מטה יהודה,5,7,7,True
715,להבות חביבה,מנשה,5,7,7,True
751,בית מאיר,מטה יהודה,5,7,7,True
377,המעפיל,עמק חפר,5,8,8,True
886,איתנים,מטה יהודה,5,,,True
680,אומץ,עמק חפר,5,8,8,True
1419,ניצן ב',חוף אשקלון,5,7,7,True
163,תימורים,באר טוביה,5,7,7,True
3744,ברוכין,שומרון,5,6,6,True
1167,קיסריה,חוף הכרמל,5,8,8,True
921,שער מנשה,מנשה,5,,,True
375,מגל,מנשה,5,7,7,True
819,אביגדור,באר טוביה,5,7,7,True
3768,פדואל,שומרון,5,6,6,True
139,עין שמר,מנשה,5,7,7,True
3787,נעלה,מטה בנימין,5,5,5,True
327,שדות ים,חוף הכרמל,5,8,8,True
359,ניצנים,חוף אשקלון,5,7,7,True
2003,תלמי אלעזר,מנשה,5,7,7,True
320,כפר ורבורג,באר טוביה,5,7,7,True
3727,עלי זהב,שומרון,5,6,6,True
734,גן יאשיה,עמק חפר,5,8,8,True
1020,אור עקיבא,,5,5,,True
2055,מאור,מנשה,5,7,7,True
107,כפר סילבר,חוף אשקלון,5,7,7,True
460,רמת רזיאל,מטה יהודה,5,7,7,True
783,אבן ספיר,מטה יהודה,5,7,7,True
213,משמרות,מנשה,5,7,7,True
1290,זמר,,5,4,,True
9600,קריית ים,,5,5,,True
6000,באקה אל-גרביה,,5,4,,True
3715,עלמון,מטה בנימין,5,5,5,True
567,צרעה,מטה יהודה,5,7,7,True
809,נחם,מטה יהודה,5,7,7,True
465,צובה,מטה יהודה,5,7,7,True
888,"כפר הרי""ף",יואב,5,8,8,True
628,ג'ת,,5,5,,True
2012,אורות,באר טוביה,5,7,7,True
593,ערוגות,באר טוביה,5,7,7,True
382,מכמורת,עמק חפר,5,8,8,True
3769,הר אדר,,5,9,,True
